activeTime,adjDist,noise_prop,count
3,1000,0.28392330383480824,6113
6,1000,0.2310630004214075,6097
9,1000,0.212468394437421,5908
12,1000,0.20338179519595448,5681
15,1000,0.1867493678887484,5517
18,1000,0.17110461441213654,5339
21,1000,0.1566055625790139,5201
24,1000,0.14181679308891698,5231
27,1000,0.13758954909397386,5219
30,1000,0.1366677201854193,5189
33,1000,0.13565370838600926,5163
36,1000,0.13465286557100717,5120
3,2000,0.1416982722292457,2284
6,2000,0.1145569953645175,2152
9,2000,0.10727454698693636,2042
12,2000,0.10269174041297935,1910
15,2000,0.09403971765697429,1762
18,2000,0.08771860514117151,1622
21,2000,0.07967235566793089,1539
24,2000,0.06929519595448799,1541
27,2000,0.06714865149599662,1528
30,2000,0.06658238516645597,1507
33,2000,0.06563421828908554,1490
36,2000,0.06533133164770333,1476
3,3000,0.07993573535608933,714
6,3000,0.06808364938895912,655
9,3000,0.06414612305099031,620
12,3000,0.061406974294142436,566
15,3000,0.0582200800674252,513
18,3000,0.05553360724820902,461
21,3000,0.050107985672144965,412
24,3000,0.04341814159292035,407
27,3000,0.04237779182469448,395
30,3000,0.04154814580699537,391
33,3000,0.04081068268015171,387
36,3000,0.04073166877370417,382
3,4000,0.07784186683522967,661
6,4000,0.06600294985250738,607
9,4000,0.06268436578171091,572
12,4000,0.060182258744205644,520
15,4000,0.057653813737884536,464
18,4000,0.05498050990307628,413
21,4000,0.04943636746734092,371
24,4000,0.04293088916982722,368
27,4000,0.04164032869785082,361
30,4000,0.040428782132321955,357
33,4000,0.039691319005478294,354
36,4000,0.03961230509903076,350
3,5000,0.07350927096502317,596
6,5000,0.06263168984407923,550
9,5000,0.059734513274336286,512
12,5000,0.057666982722292454,461
15,5000,0.05565212810788032,405
18,5000,0.05297882427307206,361
21,5000,0.047671723556679306,325
24,5000,0.040586809945217024,328
27,5000,0.039204066582385164,324
30,5000,0.03790033712600084,322
33,5000,0.03720238095238095,317
36,5000,0.03716287399915719,314
3,6000,0.06918984407922461,545
6,6000,0.059102402022756004,506
9,6000,0.05690318162663295,468
12,6000,0.05502001685630004,420
15,6000,0.053163190054782976,363
18,6000,0.05099030762747577,324
21,6000,0.046697218710493045,290
24,6000,0.03977033291192583,293
27,6000,0.03820322376738306,294
30,6000,0.036886325326590814,294
33,6000,0.036188369152970926,290
36,6000,0.03616203118415508,286
3,7000,0.06529182469447956,531
6,7000,0.0562842393594606,495
9,7000,0.054190370838600926,455
12,7000,0.05239938895912347,405
15,7000,0.05045037926675095,350
18,7000,0.048237989886219974,313
21,7000,0.044339970501474923,280
24,7000,0.03714970501474926,283
27,7000,0.03547724399494311,284
30,7000,0.03427886641382217,283
33,7000,0.033857458912768645,280
36,7000,0.033857458912768645,275
3,8000,0.06336915297092288,504
6,8000,0.05503318584070797,472
9,8000,0.05258375474083439,432
12,8000,0.05074009692372524,384
15,8000,0.04950221238938053,334
18,8000,0.0473161609776654,299
21,8000,0.04349715549936789,269
24,8000,0.03589865149599663,274
27,8000,0.034555415086388534,273
30,8000,0.03335703750526759,273
33,8000,0.032935630004214074,271
36,8000,0.032935630004214074,267
3,9000,0.06006373788453435,471
6,9000,0.052781289506953225,442
9,9000,0.05067425200168563,405
12,9000,0.04887010113780025,359
15,9000,0.04771123050990308,314
18,9000,0.04548567214496418,275
21,9000,0.04183786346396966,251
24,9000,0.034423725242309314,255
27,9000,0.03304098187947745,253
30,9000,0.031855773282764434,252
33,9000,0.03143436578171092,251
36,9000,0.03143436578171092,247
3,10000,0.05823324905183312,453
6,10000,0.05101664559629161,421
9,10000,0.049159818794774546,384
12,10000,0.0471976401179941,342
15,10000,0.04588074167720185,298
18,10000,0.04362884534344711,261
21,10000,0.04034976822587442,236
24,10000,0.0340023177412558,239
27,10000,0.03227718078381795,236
30,10000,0.03109197218710493,234
33,10000,0.03067056468605141,233
36,10000,0.03067056468605141,229
