Dates,Caterpillar,IBM,Walmart
9/25/1999,#N/A N/A,#N/A N/A,#N/A N/A
9/30/2000,#N/A N/A,#N/A N/A,#N/A N/A
9/29/2001,#N/A N/A,#N/A N/A,#N/A N/A
9/28/2002,#N/A N/A,#N/A N/A,#N/A N/A
9/27/2003,#N/A N/A,#N/A N/A,#N/A N/A
9/25/2004,#N/A N/A,#N/A N/A,#N/A N/A
9/24/2005,#N/A N/A,2.489,18.9
9/30/2006,2.73,2.8244,19.3
9/29/2007,2.75,2.8651,20.1
9/27/2008,2.77,2.9618,20.8
9/26/2009,2.05,2.436,20.3
9/25/2010,2.675,2.156,20.6
9/24/2011,2.75,2.7274,20.8
9/29/2012,2.508,2.75,21.2
9/28/2013,2.47,2.4931,21
9/27/2014,2.47,2.4387,21.8834
9/26/2015,2.34,2.0478,21.0353
9/24/2016,2.177,1.6191,21.7008
9/30/2017,2.15,1.4965,19.711
9/29/2018,2.25,1.2577,19.159
9/28/2019,1.831,1.1048,18.6755
9/26/2020,1.521,0.9197,18.2683
9/25/2021,1.59,0.7806,16.7874
9/24/2022,1.59,0.7806,16.7874
