;Application;Repository;based on;License;Citation;Status
adimpro;Adaptive Smoothing;[CRAN](https://CRAN.R-project.org/package=adimpro);ImageMagick;GPL ($\geq$ 2);@Polzehl2007;*2006-10-27  °2023-09-06
phenopix;Vegetation phenology;[CRAN](https://CRAN.R-project.org/package=phenopix);jpeg;GPL-2;@Filippa2016;*2017-06-16  °2024-01-19
gitter;Pinned Microbial Cultures;[CRAN-archived](https://CRAN.R-project.org/package=gitter);EBImage;LGPL;@Wagih2014;*2013-06-29  †2020-01-16
TCIApathfinder;Cancer Imaging;[CRAN](https://CRAN.R-project.org/package=TCIApathfinder);Rnifti;MIT;@Russell2018;*2017-08-20  °2019-09-21
SPUTNIK;Mass Spectrometry Imaging;[CRAN](https://CRAN.R-project.org/package=SPUTNIK);imager;GPL ($\geq$ 3);@Inglese2018;*2018-02-19  °2024-04-16
SAFARI;Shape analysis;[CRAN](https://CRAN.R-project.org/package=SAFARI);EBImage;GPL ($\geq$ 3);@Fernandez2022;*2021-02-25
pavo;Spectral and Spatial analysis;[CRAN](https://CRAN.R-project.org/package=pavo);magick & imager;GPL ($\geq$ 2);@Maia2019;*2012-12-05  °2023-09-24
miet;Magnetic Resonance images;[gitlab](https://gitlab.inria.fr/miet/miet);Rnifti;MIT;@Combes2020;*2019-09-06  °2023-12-20
scalpel;Calcium imaging;[CRAN](https://CRAN.R-project.org/package=scalpel);-;GPL ($\geq$ 2);@Petersen2017;*2017-03-14  °2021-02-03
ProFit;Galaxy images;[CRAN-archived](https://CRAN.R-project.org/package=ProFit);EBImage;LGPL-3;@Robotham2016;*2016-09-29  †2022-08-08
fsbrain;Neuroimaging;[CRAN](https://CRAN.R-project.org/package=fsbrain);magick;MIT;@Schaefer2020 / @Schaefer2024;*2019-10-30  °2024-02-03
geomorph;Geometric morphometric shape analysis;[CRAN](https://CRAN.R-project.org/package=geomorph);jpeg;GPL ($\geq$ 3);@Adams2013;*2012-10-26  °2024-03-05
imbibe;Medical images;[CRAN](https://CRAN.R-project.org/package=imbibe);Rnifti;BSD_3_clause;-;*2020-10-26  °2022-11-09
opencv;edge, body, face detection;[CRAN](https://CRAN.R-project.org/package=opencv);OpenCV;MIT;@opencv;*2019-04-01  °2023-10-29
DRIP;jump regression, denoising, deblurring;[CRAN](https://CRAN.R-project.org/package=DRIP);-;GPL ($\geq$ 2);-;*2015-09-22  °2024-02-05
