Column1;mclust;flexmix;mixtools;Rmixmod;EMCluster;bgmm;GMKMcharlie;EMMIXmfa;HDclassif
Models Available (univariate);canonical;unconstrained;canonical;canonical;unconstrained;canonical;unconstrained;NA;NA
Models Available (multivariate);canonical;unconstrained diagonal or general;unconstrained;canonical;unconstrained;4 models (diagonal and general, either component specific or global) ;unconstrained;4 models (either component-wise or common, on the intrinsic and diagonal residual error covariance matrices) ;canonical on projected dimension
Labelled data;supervised, unsupervised;unsupervised;unsupervised;supervised, unsupervised;supervised, unsupervised;soft-supervised, supervised, unsupervised;unsupervised;unsupervised;supervised, unsupervised
Variants of the EM algorithm;VBEM;SEM, CEM;ECM;SEM, CEM;redcross;redcross;CW-EM, MML;AECM;SEM, CEM
Initialisation;hierarchical clustering, quantile;short-EM, random;random;random, short-EM, CEM, SEM;random, short-EM;k-means, quantile;k-means;k-means, random, heuristic;short-EM, random, k-means
Simulation;real and toy datasets, parametric;real datasets, parametric;real datasets, parametric;real datasets;toy datasets;real datasets, parametric, prior probability;redcross;redcross;real datasets
Weighted implementation;greentick;redcross;redcross;redcross;redcross;greentick;greentick;redcross;redcross
Model or Cluster Selection;BIC, ICL, LRTS;AIC, BIC, ICL;AIC, BIC, ICL, CAIC, LRTS;BIC, ICL, NEC;AIC, BIC, ICL, CLC;GIC;redcross;redcross;BIC, ICL, CV
Bootstrap Confidence Intervals;greentick;greentick;greentick;redcross;redcross;redcross;redcross;redcross;redcross
Visualisation;performance, histograms and boxplots of bootstrapped estimates, density plots (univariate),  scatter plots with uncertainity regions and boundaries (bivariate), isodensity (bivariate , 2D projected PCA or selecting coordinates);redcross;density curves;density curves, scatter plots with uncertainty boundaries;redcross;performance, scatter plots with uncertainty boundaries;redcross;projected factorial map;projected factorial map, performance (Cattell's scree plot, BIC performance, slope heuristic)
