"date","month","year","arrive","depart","total"
2017-01-01,"January",2017,514768,475545,990313
2017-02-01,"February",2017,426439,392550,818989
2017-03-01,"March",2017,397861,437297,835158
2017-04-01,"April",2017,410148,451555,861703
2017-05-01,"May",2017,341934,387248,729182
2017-06-01,"June",2017,352543,363816,716359
2017-07-01,"July",2017,430679,427658,858337
2017-08-01,"August",2017,370861,378597,749458
2017-09-01,"September",2017,384120,366662,750782
2017-10-01,"October",2017,455579,394939,850518
2017-11-01,"November",2017,439273,408831,848104
2017-12-01,"December",2017,511994,501008,1013002
2018-01-01,"January",2018,534496,489302,1023798
2018-02-01,"February",2018,457877,414531,872408
2018-03-01,"March",2018,432721,476692,909413
2018-04-01,"April",2018,397512,455474,852986
2018-05-01,"May",2018,352792,391087,743879
2018-06-01,"June",2018,348437,381404,729841
2018-07-01,"July",2018,453685,426213,879898
2018-08-01,"August",2018,399836,405138,804974
2018-09-01,"September",2018,409382,389094,798476
2018-10-01,"October",2018,471962,405073,877035
2018-11-01,"November",2018,459713,428049,887762
2018-12-01,"December",2018,529443,516919,1046362
2019-01-01,"January",2019,551105,517817,1068922
2019-02-01,"February",2019,457199,415188,872387
2019-03-01,"March",2019,428430,475055,903485
2019-04-01,"April",2019,413333,459664,872997
2019-05-01,"May",2019,352565,397743,750308
2019-06-01,"June",2019,357672,386382,744054
2019-07-01,"July",2019,451088,418142,869230
2019-08-01,"August",2019,398074,406783,804857
2019-09-01,"September",2019,409979,396856,806835
2019-10-01,"October",2019,468418,402142,870560
2019-11-01,"November",2019,454740,420675,875415
2019-12-01,"December",2019,532918,529583,1062501
2020-01-01,"January",2020,558006,510555,1068561
2020-02-01,"February",2020,419674,379480,799154
2020-03-01,"March",2020,235099,278356,513455
2020-04-01,"April",2020,5850,25098,30948
2020-05-01,"May",2020,5541,9832,15373
2020-06-01,"June",2020,8861,13510,22371
2020-07-01,"July",2020,8984,17583,26567
2020-08-01,"August",2020,10768,13735,24503
2020-09-01,"September",2020,10802,14540,25342
2020-10-01,"October",2020,11402,12742,24144
2020-11-01,"November",2020,11051,13262,24313
2020-12-01,"December",2020,12203,16903,29106
2021-01-01,"January",2021,12491,13535,26026
2021-02-01,"February",2021,11995,13125,25120
2021-03-01,"March",2021,11406,14184,25590
2021-04-01,"April",2021,34903,31326,66229
2021-05-01,"May",2021,64902,70080,134982
2021-06-01,"June",2021,60562,66577,127139
2021-07-01,"July",2021,54751,60117,114868
2021-08-01,"August",2021,17722,21884,39606
2021-09-01,"September",2021,7130,6963,14093
2021-10-01,"October",2021,9694,8411,18105
2021-11-01,"November",2021,10907,15136,26043
2021-12-01,"December",2021,14196,25007,39203
2022-01-01,"January",2022,15274,22105,37379
2022-02-01,"February",2022,15510,23769,39279
2022-03-01,"March",2022,57358,52698,110056
2022-04-01,"April",2022,103399,117360,220759
2022-05-01,"May",2022,138800,142974,281774
2022-06-01,"June",2022,151363,160233,311596
2022-07-01,"July",2022,216019,225333,441352
2022-08-01,"August",2022,219516,213626,433142
2022-09-01,"September",2022,239023,223664,462687
2022-10-01,"October",2022,284242,250573,534815
2022-11-01,"November",2022,315229,276241,591470
2022-12-01,"December",2022,372034,347679,719713
2023-01-01,"January",2023,378848,360956,739804
2023-02-01,"February",2023,335887,283824,619711
2023-03-01,"March",2023,335940,350228,686168
2023-04-01,"April",2023,334651,357687,692338
2023-05-01,"May",2023,296835,318170,615005
2023-06-01,"June",2023,306855,331411,638266
2023-07-01,"July",2023,388571,342607,731178
2023-08-01,"August",2023,340237,347324,687561
2023-09-01,"September",2023,367535,362105,729640
2023-10-01,"October",2023,419178,347467,766645
2023-11-01,"November",2023,402780,374688,777468
2023-12-01,"December",2023,448154,455757,903911
2024-01-01,"January",2024,500270,455062,955332
2024-02-01,"February",2024,430864,388015,818879
2024-03-01,"March",2024,399778,435930,835708
2024-04-01,"April",2024,353867,403076,756943
2024-05-01,"May",2024,315445,355354,670799
2024-06-01,"June",2024,322914,348642,671556
2024-07-01,"July",2024,408030,377262,785292
